Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize
CCC19 - Log XES;806604;23864;23231;26474;874975;21653
not_existing_assembly_loading_50;69765356;1477490;1446833;3031019;70211931;1496488
finalizable_object_1;885275;35445;35220;33805;892966;28344
exception_try_catch_finally_when_1;620798;31912;31861;30622;624619;25040
unsafe_fixed_50;24518888;438834;428973;1132204;24670188;535439
array_pooling_75;122689144;2671107;2599316;4554159;123947709;2690160
task_test_project_50;97435590;1930609;1893183;4166718;98010540;1983930
dynamic_assembly_loading_1;1489486;59393;59780;62821;1498542;48355
finalizable_object_75;66439007;1451681;1403594;2475053;67019727;1448607
simple_async_await_1;2329325;87916;89379;95041;2342181;70741
console_app_1_1;636155;32354;32296;31752;640266;25454
intensive_thread_pool_25;553313386;12500495;12135619;14753209;558784816;10882575
file_async_operations_1;4361130;151401;154149;163743;4393111;125699
dynamic_assembly_loading_50;73979343;1462825;1430600;3075086;74429768;1480963
exception_try_catch_finally_1;147387;9859;9821;8578;148338;7788
not_simple_async_await_75;258632003;5308812;5210636;9870844;260568163;5343877
console_app_1_75;46467401;823255;805634;2253153;46764201;1043289
exception_try_catch_finally_when_25;15480120;303081;298719;737088;15576640;352525
intensive_thread_pool_50;1094425732;24052725;23423145;28984504;1105223532;21303506
exception_try_catch_finally_async_1;2834835;110891;112312;119250;2852656;89519
task_test_project_25;48937439;1020624;1001510;2099811;49227744;1017016
unsafe_fixed_25;12312261;239540;234225;570185;12388651;277401
yield_enumerator_75;35292547;593662;578270;1663595;35508537;754986
not_existing_assembly_loading_25;35092368;782134;767630;1527886;35318548;765096
unsafe_fixed_1;494249;25472;25305;23890;497270;19849
exception_try_catch_finally_when_50;30768851;550158;540366;1461084;30959581;675084
simple_async_await_75;174560114;3064798;3015245;7047326;175526434;3240897
exception_try_catch_finally_async_75;212480363;4301676;4230734;8870048;213817553;4379735
exception_try_catch_finally_75;10829230;216896;214212;548696;10901905;214089
file_write_project_75;51428622;823203;802572;2216319;51730007;1054879
dynamic_assembly_creation_75;196603923;3125029;3059677;7245403;197688098;3328542
dynamic_assembly_loading_25;37081659;779617;765165;1542237;37307999;760292
task_test_project_1;1962871;78847;79684;84967;1974477;64107
loh_allocations_1;58091937;845264;879143;1315593;58616993;775070
file_async_operations_75;322274253;6452287;6337651;12118437;324612938;6528738
loh_allocations_75;4362044610;59575461;62108198;98943129;4401492795;56879757
file_async_operations_50;207679531;4181128;4109783;7918992;209151011;4207041
loh_allocations_50;2901896089;39467573;41363971;65449218;2928116414;37621612
file_write_project_50;34106472;562135;552703;1467311;34305172;699268
dynamic_assembly_creation_50;130532191;2110245;2064009;4799011;131248781;2216150
not_simple_async_await_25;86244842;1874039;1844579;3291077;86891837;1820589
