Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize
CCC19 - Log XES;806604;21815;21254;26474;784932;21653
not_existing_assembly_loading_50;69765356;1399082;1370576;3031019;68702597;1496488
finalizable_object_1;885275;33793;33490;33805;844702;28344
exception_try_catch_finally_when_1;620798;31017;30979;30622;607637;25040
unsafe_fixed_50;24518888;415052;404885;1132204;23972809;535439
array_pooling_75;122689144;2441587;2380681;4554159;121849543;2690160
task_test_project_50;97435590;1831651;1800698;4166718;95866286;1983930
dynamic_assembly_loading_1;1489486;57657;58038;62821;1465951;48355
finalizable_object_75;66439007;1341708;1293681;2475053;63408161;1448607
simple_async_await_1;2329325;85569;87016;95041;2290271;70741
console_app_1_1;636155;31426;31328;31752;619485;25454
intensive_thread_pool_25;553313386;11488837;11184557;14753209;535665196;10882575
file_async_operations_1;4361130;144888;147148;163743;4134009;125699
dynamic_assembly_loading_50;73979343;1383686;1353624;3075086;72867392;1480963
exception_try_catch_finally_1;147387;9457;9412;8578;144564;7788
not_simple_async_await_75;258632003;4919564;4810543;9870844;245567548;5343877
console_app_1_75;46467401;772372;757599;2253153;45413361;1043289
exception_try_catch_finally_when_25;15480120;287365;282221;737088;15158498;352525
intensive_thread_pool_50;1094425732;22080673;21571416;28984504;1060342211;21303506
exception_try_catch_finally_async_1;2834835;107372;108755;119250;2749131;89519
task_test_project_25;48937439;971263;952702;2099811;48118487;1017016
unsafe_fixed_25;12312261;227126;221163;570185;12029904;277401
yield_enumerator_75;35292547;558694;543212;1663595;34509322;754986
not_existing_assembly_loading_25;35092368;742961;728529;1527886;34525967;765096
unsafe_fixed_1;494249;24746;24564;23890;482611;19849
exception_try_catch_finally_when_50;30768851;518483;509312;1461084;30153524;675084
simple_async_await_75;174560114;2900721;2858146;7047326;171664827;3240897
exception_try_catch_finally_async_75;212480363;4048993;3986188;8870048;206097262;4379735
exception_try_catch_finally_75;10829230;204876;202022;548696;10659552;214089
file_write_project_75;51428622;774733;755586;2216319;50150006;1054879
dynamic_assembly_creation_75;196603923;2942582;2888765;7245403;194255240;3328542
dynamic_assembly_loading_25;37081659;740775;726443;1542237;36511815;760292
task_test_project_1;1962871;76712;77532;84967;1929653;64107
loh_allocations_1;58091937;733154;778489;1315593;57885755;775070
file_async_operations_75;322274253;5963436;5861511;12118437;306018727;6528738
loh_allocations_75;4362044610;51397655;54751998;98943129;4346196039;56879757
file_async_operations_50;207679531;3894607;3815099;7918992;197877737;4207041
loh_allocations_50;2901896089;34044984;36462069;65449218;2892199445;37621612
file_write_project_50;34106472;531304;522139;1467311;33280415;699268
dynamic_assembly_creation_50;130532191;1990358;1952132;4799011;129039704;2216150
not_simple_async_await_25;86244842;1736785;1707749;3291077;81863834;1820589
yield_enumerator_1;480191;24611;24416;23600;468187;19898
console_app_1_25;15498949;294996;289139;752913;15144104;361431
exception_try_catch_finally_50;7218623;141187;138923;366417;7104964;146733
simple_async_await_50;115913079;1977757;1950741;4682719;114050336;2166956
exception_try_catch_finally_async_50;246641549;1475603;1401429;11694780;239624798;3284994
not_simple_async_await_1;3469191;118179;119118;133487;3291370;102067
exception_try_catch_finally_when_75;46405530;747036;735501;2206596;45450030;1013275
intensive_thread_pool_1;22181583;603255;600427;592611;21483567;485643
yield_enumerator_50;23505447;386515;376432;1108770;22984384;509938
array_pooling_25;40808752;845057;825947;1519093;40526477;904231
finalizable_object_25;22129790;479751;427694;825501;21119124;486312
intensive_thread_pool_75;1668535631;32994728;32304941;44430083;1615041816;32350021
exception_try_catch_finally_async_25;124905472;779712;735373;5901599;121168969;1528544
simple_async_await_25;58210346;1042227;1023822;2352486;57238244;1106268
exception_try_catch_finally_25;3618508;79814;78275;184378;3560096;78246
console_app_1_50;30958308;532131;520824;1501884;30255234;696409
dynamic_assembly_creation_1;2620670;79420;81190;97499;2589272;68385
file_write_project_1;687912;30880;30898;30850;670465;24409
not_simple_async_await_50;166669833;3206927;3144280;6441271;158765341;3449026
dynamic_assembly_creation_25;65506195;1030264;1010377;2415125;64722222;1123184
file_write_project_25;17146918;294002;288341;740011;16718622;364206
dynamic_assembly_loading_75;111274552;2015371;1985629;4623610;109573428;2214399
loh_allocations_25;1451463858;17407583;18531653;33046701;1446170672;19152039
file_async_operations_25;108063710;2114888;2075112;4051554;102541146;2233468
not_existing_assembly_loading_1;1403475;56940;57115;61983;1380837;47705
array_pooling_1;1628377;48414;48016;61194;1616609;44652
finalizable_object_50;44129347;913957;874648;1642132;42132063;961418
task_test_project_75;146659466;2672022;2628319;6281871;144227416;2962949
array_pooling_50;81271210;1637669;1599525;3007343;80760519;1784559
unsafe_fixed_75;36930720;596844;583499;1706882;36089027;795669
yield_enumerator_25;11774287;213947;208262;555900;11510388;265112
not_existing_assembly_loading_75;104651855;2024890;1990711;4544666;103056742;2216802
JUnit 4.12 Software Event Log;2049383;53519;53780;81043;2036569;42855
Sepsis Cases - Event Log;5441435;141058;141156;182652;4881970;159572
BPI Challenge 2018;1946897684;104265252;103080697;151167704;1845010433;114077209
Hospital_log;85363264;831675;822698;2170365;80951447;956184
BPI Challenge 2017;578941403;2477391;2461328;26339829;287412337;22738334
