Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize;ValuesRepeatCoef;AttributesRepeatCoef;ValuesVariantsCoef;AttributesVariantsCoef
CCC19 - Log XES;806604;23998;23178;26474;874976;21653;0.010910429318822107;0.0076415290217723576;0.06165209526680736;0.15044177346175278
not_existing_assembly_loading_50;69765356;1468422;1445237;3031019;70211931;1496488;0.00022358915918829767;0.00014716488150495256;0.03321751399165597;0.07103007737562735
finalizable_object_1;885275;35384;35173;33805;892966;28344;0.005182858757390947;0.002998537664245234;0.08867127841164316;0.1870949018090355
exception_try_catch_finally_when_1;620798;31930;31881;30622;624619;25040;0.00560158720993631;0.003933367376512932;0.12567280010013768;0.24821946715906093
unsafe_fixed_50;24518888;434112;427131;1132204;24670188;535439;0.0007002749526472295;0.0005438278242639093;0.026972597647641917;0.05692260029267135
array_pooling_75;122689144;2649695;2595570;4554159;123947709;2690160;0.00015900378281072088;0.0001154990099900299;0.024312301182099764;0.05307992245982293
task_test_project_50;97435590;1919754;1884916;4166718;98010540;1983930;0.00021081189033799323;0.0001424552585375316;0.027432525088823784;0.057555547876567956
dynamic_assembly_loading_1;1489486;59374;59734;62821;1498542;48355;0.003258404101415199;0.0020553768226752025;0.10489040674075525;0.21121020613076605
finalizable_object_75;66439007;1405536;1269361;2475053;67019727;1448607;0.00024131766377074446;0.0001371442695392159;0.027059669302659958;0.06272844514932921
simple_async_await_1;2329325;87808;89361;95041;2342181;70741;0.0025711558334376825;0.001639912520809856;0.09801839419736866;0.19195127419475375
console_app_1_1;636155;32343;32331;31752;640266;25454;0.005488432979956287;0.003760216230130575;0.12392953266454612;0.24489532178857587
intensive_thread_pool_25;553313386;12445109;12152910;14753209;558784816;10882575;1.4590062704387809E-05;8.082702015192666E-06;0.058930793609659166;0.12778626710314808
file_async_operations_1;4361130;151041;153336;163743;4393111;125699;0.0013151165349439943;0.0007658403146259628;0.08527035187439493;0.16969418716065154
dynamic_assembly_loading_50;73979343;1454694;1429610;3075086;74429768;1480963;0.00024500948914487394;0.00016006555623418136;0.03040850643039195;0.06488323130858313
exception_try_catch_finally_1;147387;9888;9858;8578;148338;7788;0.016770650029328604;0.011019283746556504;0.17454068241469817;0.3142857142857143
not_simple_async_await_75;258632003;5290430;5171401;9870844;260568163;5343877;6.603662166019491E-05;3.81065503348424E-05;0.03028985323397025;0.063535960650874
console_app_1_75;46467401;817494;802347;2253153;46764201;1043289;0.00041981995789809037;0.0003062637379467113;0.02476759717066084;0.0527019810826958
exception_try_catch_finally_when_25;15480120;302193;298908;737088;15576640;352525;0.0008957450340156542;0.0006585845524098724;0.03467005025226436;0.07299193080533727
intensive_thread_pool_50;1094425732;23976581;23455444;28984504;1105223532;21303506;7.989404435106216E-06;4.467005751650438E-06;0.05477281124471388;0.11883753335715913
exception_try_catch_finally_async_1;2834835;110714;111997;119250;2852656;89519;0.0019200197751658762;0.001152717762358592;0.09870095672781533;0.1963807785888078
task_test_project_25;48937439;1015441;1000253;2099811;49227744;1017016;0.00035245952197531124;0.00023731515904873912;0.03243253973833946;0.06768643433848376
unsafe_fixed_25;12312261;237221;234582;570185;12388651;277401;0.0011088772400484569;0.0008542220244186727;0.03363742514783108;0.0707188701781097
yield_enumerator_75;35292547;586405;576460;1663595;35508537;754986;0.0006171102501478879;0.00048685294034667257;0.021810089675219555;0.04599520694945974
not_existing_assembly_loading_25;35092368;777753;766824;1527886;35318548;765096;0.0003806793935745629;0.00024914330727555326;0.03846495139975973;0.08186364138076659
unsafe_fixed_1;494249;25495;25337;23890;497270;19849;0.0067724127299923255;0.004918833346749351;0.12474708171206225;0.24844211216792392
exception_try_catch_finally_when_50;30768851;547461;539795;1461084;30959581;675084;0.0005783037410495781;0.0004285388341927986;0.027261387185104742;0.05771087021087021
simple_async_await_75;174560114;3049109;3003221;7047326;175526434;3240897;0.00017740475872457062;0.00011540066771613241;0.020572675965941516;0.043088281761628176
exception_try_catch_finally_async_75;212480363;4281169;4209715;8870048;213817553;4379735;9.332068380654404E-05;5.699533844425444E-05;0.029200365353577992;0.06190709776575186
exception_try_catch_finally_75;10829230;215992;212432;548696;10901905;214089;0.0012885693944488315;0.0008321744294702441;0.035777626315432624;0.07597497188488275
file_write_project_75;51428622;817691;799648;2216319;51730007;1054879;0.0004633990844203807;0.00041455249741834566;0.018437865280807052;0.038247483718176434
dynamic_assembly_creation_75;196603923;3107021;3043304;7245403;197688098;3328542;0.00016340377132697192;0.00010529461199207083;0.01985920810772715;0.04191857116397314
dynamic_assembly_loading_25;37081659;775577;764547;1542237;37307999;760292;0.00039597711425269855;0.00025688943982464236;0.03723491495035869;0.07921586827268917
